Reviewer Name,Review Date,Star Rating,Review Text,Total Reviews by Reviewer,Total Photos by Reviewer,Is Local Guide,Number of Images,Image URLs,Price per Person,Food Rating,Service Rating,Atmosphere Rating,Recommended Dishes
Trisha Crank,a year ago,5,Great pub had various beers on offer with very good prices. Food was quick and hot when it arrived. Very enjoyable meal for a great price . The pub was very clean and tidy and the staff were very friendly and helpful 👍 😀 …,57,No photos count,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Julie Heslop,6 months ago,5,"Good food, friendly staff,quick service",166,97,True,0,,Not found,Not rated,Not rated,Not rated,Not found
wendy speight,6 months ago,5,"Just love a spoons 😁
Great choice, great prices, and fab service. …",44,5,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Rachel Ashcroft,5 years ago,5,Just wanted to share our experience. We had a meal last week which was for 9 people. Ordered our food to the same table but 3 different orders. Our food arrived all together (impressed) and all steaks were cooked to perfection (double impressed). Thankyou to the kitchen staff you were amazing xxx,85,1,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Keith Robinson,6 years ago,5,"A really nice place, impressed as soon as I walked through the door. A fine old building that has a quality feel about it, a smallish main room with smaller rooms at the side.
Visited at midday on a Thursday. Although quite busy the staff were efficient and friendly and the food and drink was great. The highlight of my trip to Bolton!",34,No photos count,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Andrew Tannahill,6 months ago,5,Best place by far to drink cast ales at proper prices.,69,1,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Christopher Dean,2 months ago,5,Excellent value and service just gets a bit too busy at times. Fantastic Burns week food. Service so much better than many other Spoons. Highly Recommend.,261,1,True,0,,£1–10,4,5,5,Not found
Roger Morris,8 months ago,5,Very nice breakfast bun fresh well cooked and tasty coffee was good too,235,102,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Ryan Davis,11 months ago,5,Great staff great food and cheap beer it's a all round good night,7,No photos count,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Jan Stringer,5 months ago,5,Had a spicy pizza to share was very good 👍 …,54,1,False,0,,Not found,Not rated,Not rated,Not rated,Not found
jim shuttleworth,2 months ago,5,Quick service friendly staff.,17,No photos count,False,0,,£10–20,5,5,5,Not found
David Atkinson,a year ago,5,"Another JD Whetherspoons pub always worth a visit if you're ever in Bolton
As with all Whetherspoons pubs always a good selection of cask ales and average prices for food
Always very busy throughout the day when we have been there",17,36,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Jennie Kirkman,2 years ago,5,Breakfast has beans wether you want them or not and I could not find a way on the app to tell them to keep them. I have not been in since the beginning of lockdown and the breakfast was not as good as they used to be. But apart from no way of deleting the bean I thought the app was brilliant down to how many glasses to go with your bottle of wine,5,No photos count,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Peter Millett,3 years ago,5,Had our evening meal there well done to Helen for looking after us especially when someone started to vape while we were eating. She acted promptly and professionally and the person understood that it wasn't acceptable to inconvenience other people who were eating. This is the reason why we return to the Spinning Mule in Bolton,26,2,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Stevie P,a year ago,5,"Damage as all others .
Nice enough breakfast for the money.
Bottomless coffee cup for 1.20 which is a bargain when you like 3 cups with your brekkers",147,67,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Katie Bailey,a year ago,5,Great food. Lovely atmosphere. Friendly and fun staff.,62,18,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Charlotte Wilding,4 years ago,5,"Love this spoons! We visit quite regularly.. The food is always good, the staff are always lovely and service is quick and easy. Toilets are always clean and it's always easy to get a table. Highly reccommend",32,21,True,0,,Not found,Not rated,Not rated,Not rated,Not found
zac cruz,2 years ago,5,"My spirit is one with nature, from the deepest sand beneath the oceans through to the furthest forest my soul flows. Even though I am one with nature I have no roots. I am a traveller. Always have been. The winds guide me, pulling me ever towards the horizon. Following the brightest star, searching for a new sunrise.

Until I grew weary...

I fell upon the stone steps of the Spinning Mule. Weak and broken, I had all but given up. Until I heard a warm voice, the voice of an Irishman. Dave. He taught me the ways of 3 small plates for £10.95. I can never repay him.

Next, a raven haired queen, Helen. With all knowledge of the contents of 2 for only £10 pitchers, I drifted into the abyss of her warmth. For who wouldn't?.

Third, a prince among men, Dan. A man whose bartending intellect and skill could put even the most experienced bartender to shame. He resides in the kitchen displaying his culinary expertise. His greatest skills stay dormant, as he remains humble, yet powerful.

The fourth, perhaps the darkest of the four. His skills lay not within the realm of physical, tangible things. It lay within his devilish charm, his way with words, his debonair style and finesse. A wink, a smile a few sharp words from him and you were his. His name? A name that echoes in my head, and I hope will remain. Seb.

The other staff were lovely too, food was made in good time, tables could have been wiped more though.

Thanks,
Zac",1,No photos count,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Avaia Williams (ItGetsBetter),2 years ago,5,"Great, cheap, and quality food and drinks. Always seating available and quick service as with all Spoons'.
Really friendly staff.",5,No photos count,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Ian Mulligan,7 months ago,5,Our group had a great day out and a fine meal to finish,63,92,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Papa Smurf,2 years ago,5,Had a fab nght food was good disability access was easy and staff very helpfull  and polite  thanks to dave the manager for assisting me to get to our table with minimum fuss and for abrillient service also a big thanks to sam our server and also to phoebe the special one a five star to you all  thanks  would defantly recomend  useing your restarant any time 5**,1,No photos count,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Sue Hopper,4 years ago,5,"I liked this pub initially for breakfast, but came dissatisfied when every time the meal came with either beans, egg, bacon or sausage and it was cold and the rest was tepid. Have now found a little cafe that offers better value and a hot breakfast.",348,653,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Steph Leighton,a year ago,5,"Good food and good service, rather busy on Friday night and weekends",21,6,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Asif Ahmad,a year ago,5,Very nice place and few nicely people living in Bolton city centre. I'll try my best to go again soon.,146,428,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Cy Newbon,a year ago,5,Great food an alcohol at good prices,90,312,True,3,"https://lh5.googleusercontent.com/p/AF1QipMb0M0E6G53fgXasbRzWCDGA0qT5NMgwl3j6740=w450-h675-p-k-no,https://lh5.googleusercontent.com/p/AF1QipNqdTb4MIC8ls3fNbqs8fOJ7dU0hzxV_p7-7ytM=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPGUQWwLPblGK1_3_NAuSbUF6ANmeEDRBPSlGEK=w450-h338-p-k-no",Not found,Not rated,Not rated,Not rated,Not found
James Hodgkinson,10 months ago,5,Fantastic affordable food. Great service and clean.,109,31,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Stephen Wilkie,8 months ago,5,Nice place to get a drink and have really good food.,90,84,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Ian J Noone,5 years ago,5,"If you're only out for a drink this place is very cheap N cheery with a very good selection of cask beers, lagers and spirits.  If you're looking to eat somewhere there are many far nicer places in Bolton.",19,1,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Maria Mwaimu,a year ago,5,"Great atmosphere , good food well worth  a trip into bolton.",49,No photos count,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Katie,5 years ago,5,If you're not wanting a mad one it's your best bet in Bolton really. Friendly staff an good food/drink as you'd expect from spoons. The old men in there do look at your arse when you go upstairs to the toilet so each to their own I guess.,22,1,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Deborah Skelhorn,2 years ago,5,Brill food....very quiet mid afternoon...order on  app and its delivered to your table...so much better than old days with queue at bar,19,7,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Philip Barmore,a year ago,5,"Great place to meet friends.
Good food and good beer prices.
And excellent staff.",76,No photos count,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Paul Smith,a year ago,5,"Brilliant breakfast with bottomless coffee. Excellent value, service and quality.",213,61,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Robert Elsey,a year ago,5,Really enjoyed the Freedom breakfast this morning,96,25,True,1,https://lh5.googleusercontent.com/p/AF1QipNdQMQCf1g_AcnD_N39Ut93MpnA5lRMxjR3kMEr=w900-h675-p-k-no,Not found,Not rated,Not rated,Not rated,Not found
