Reviewer Name,Review Date,Star Rating,Review Text,Total Reviews by Reviewer,Total Photos by Reviewer,Is Local Guide,Number of Images,Image URLs,Price per Person,Food Rating,Service Rating,Atmosphere Rating,Recommended Dishes
Terence Bishop,a year ago,5,Great large breakfast with extra black pudding asked for well done meat. The cook got it bang on for us both.,12,No photos count,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Linda Barben,10 months ago,5,"Its a shame its not Wetherspoons anymore, used to like taking my elderly parents in there for a Coffee and a breakfast , but my God , never again the bloody Coffee in that machine is horrendous its like dish water and has a funny taste to  it , wont be going back  🤮 …",15,3,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Julie Eckersall,a year ago,5,"Fantastic experience, the bar staff were extremely covid aware and made us feel safe. I would highly recommend a visit here. Returned recently. No longer a Wetherspoons which I think improved the food.",162,55,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Stephen Reynolds,3 months ago,5,Great meal in here today.,337,7365,True,0,,Not found,Not rated,Not rated,Not rated,Not found
gary smith,8 months ago,5,"Stayed in Bury overnight , A very good breakfast here, Polite staff, I've used it before ,Will use sg again",119,No photos count,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Garson Lee,10 months ago,5,"Peaceful and quiet pub at breakfast time. Good quality of food and coffee, and good price too.",11,13,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Chelsea Shuttleworth,4 years ago,5,Went Saturday for tea with the children after watching toy story 4. All other wetherspoons we have been to on a Saturday are normally quite rowdy with drinkers but this place was lovely and quiet. Food was at our tables without waiting too long and food was lovely. As always. 5 happy customers,79,108,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Paul Green,7 months ago,5,Great place for a drink. Prices are very good.,115,849,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Amanda Bromfield,3 years ago,5,Lovely breakfast. Perfectly cooked with nice dippy eggs. Lovely staff. Nice atmosphere. Defo much nicer than Regal  Moon in Rochdale. Maybe the chef can pay a visit and show them how it’s done!!!!,12,No photos count,False,0,,Not found,Not rated,Not rated,Not rated,Not found
James Gabrielides,6 years ago,5,"Superb prices. Quality draft ales and beers. People sometime bemoan the 'atmosphere', but as long as you're with your friends and/or loved ones, you make your own atmosphere! Best for 25 years plus in this place. If you're younger head to Automatic on a Friday for cocktails.",25,21,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Michael Briggs,2 years ago,5,"I had to go to Bury Market for certain items which are more than less unavailable in Shameside (Tameside). Whilst I was in Bury, I had heard of The Robert Peel was a brilliant pub, so I had a look around, then low and behold, there it was. I had a nice couple of hours or more in there and enjoyed it immensely. Will definitely go back in there again next time I'm in Bury.😎💯💥",21,6,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Philip Banner,2 years ago,5,"Best Wetherspoon's breakfast we've had in a while, and we've had a few. Cooked to perfection on a nice warm plate. Pitty they've ditched the tomato though, would have contributed towards my 5 A  Day!",3,13,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Marie Bardsley,10 months ago,5,Service brill .staff friendly.    Reasonably  priced varied menu,93,1,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Linda Charnock,a year ago,5,Had a lovely lunch and the drinks were very good price and the staff very friendly,91,No photos count,True,0,,Not found,Not rated,Not rated,Not rated,Not found
elaine Swindells,10 months ago,5,"Great prices for drinks and food, food pub grub but nice",88,1,False,0,,Not found,Not rated,Not rated,Not rated,Not found
maxine watson,11 months ago,5,"Had lunch and a coffee food came quickly,was not very busy had disabled toilets,",79,30,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Andrew “Biggie” Hinchliffe,a year ago,5,"Cheap food, good selection of Ales, might not be a Wetherspoons in the future! 😂 This is now not a Wetherspoons, brought other drinks back that Wetherspoons took off, same menu, roughly the same prices, kept the same. Beer was better when a Wetherspoons, colder, may get better. …",249,9,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Lyn Cott,a year ago,5,Nice place for a drink. Will be back for food next time.the pub is spotless,129,7,True,0,,Not found,Not rated,Not rated,Not rated,Not found
DOREEN GILL,2 years ago,5,Always a good experience. Staff friendly and efficient. Food is consistently good. Sadly Ruddles beer is not always available. Best value in Bury.,16,No photos count,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Craig Dewhurst,5 years ago,5,"A good meeting place for breakfast, lunch or dinner..... Or maybe all three! Friendly staff and friendly regulars. Help yourself to refill coffee and tea. Good selection of real ale. Cracking prices for food and drink. The 'entertainment' is free!",25,27,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Nancie Gallagher,4 years ago,5,"Always busy, if you want a table get there early. Staff are great, food Is good for what you pay. We go here at least twice a week and never have any problems with food and drink.",97,28,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Graham Timmins,a year ago,5,"Great well-lit pub for a weatherspoons a pleasure to sit in daylight.Staff first class,as usual great prices.",536,1567,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Kat Turner,6 years ago,5,"A bunch of us were here to celebrate a very special friends birthday. We ate, drank and were very merry indeed.  The choice of beers is wide and the prices very good. The place has a great atmosphere!",66,27,True,0,,Not found,Not rated,Not rated,Not rated,Not found
C H,9 months ago,5,"What you see is what you get. Good pub, food is fine and usually pretty quick.",80,111,True,0,,Not found,Not rated,Not rated,Not rated,Not found
CINDY Maxwell,3 months ago,5,Great atmosphere and fantastic prices,206,No photos count,True,0,,£1–10,5,5,5,Not found
Lilly Rooney,11 months ago,5,"Good food not to long of a wait,staff real friendly.and the football was on. 👍 …",173,131,True,0,,Not found,Not rated,Not rated,Not rated,Not found
